#m, E
2017.63 478
2017.65 550
2017.67 504
2017.69 498
2017.71 487
2017.73 538
2017.75 550
2017.77 478
2017.79 545
2017.81 500
2017.83 536
2017.85 551
2017.87 524
2017.89 533
2017.91 511
2017.93 555
2017.95 533
2017.97 483
2017.99 538
2018.01 511
2018.03 529
2018.05 509
2018.07 568
2018.09 493
2018.11 552
2018.13 544
2018.15 530
2018.17 521
2018.19 569
2018.21 554
2018.23 473
2018.25 552
2018.27 624
2018.29 530
2018.31 559
2018.33 478
2018.35 533
2018.37 555
2018.39 507
2018.41 534
2018.43 591
2018.45 465
2018.47 535
2018.49 551
2018.51 500
2018.53 499
2018.55 487
2018.57 551
2018.59 533
2018.61 535
2018.63 581
2018.65 563
2018.67 546
2018.69 588
2018.71 579
2018.73 525
2018.75 524
2018.77 536
2018.79 538
2018.81 506
2018.83 534
2018.85 556
2018.87 533
2018.89 555
2018.91 542
2018.93 585
2018.95 538
2018.97 584
2018.99 550
2019.01 505
2019.03 546
2019.05 505
2019.07 513
2019.09 546
2019.11 557
2019.13 545
2019.15 565
2019.17 567
2019.19 545
2019.21 508
2019.23 555
2019.25 583
2019.27 536
2019.29 575
2019.31 490
2019.33 572
2019.35 543
2019.37 579
2019.39 549
2019.41 516
2019.43 569
2019.45 523
2019.47 569
2019.49 572
2019.51 549
2019.53 592
2019.55 619
2019.57 508
2019.59 524
2019.61 582
2019.63 505
2019.65 535
2019.67 517
2019.69 540
2019.71 541
2019.73 600
2019.75 542
2019.77 515
2019.79 548
2019.81 601
2019.83 537
2019.85 529
2019.87 524
2019.89 515
2019.91 557
2019.93 530
2019.95 568
2019.97 556
2019.99 579
