#m, E
2017.66 584
2017.68 601
2017.7 535
2017.72 523
2017.74 570
2017.76 573
2017.78 574
2017.8 542
2017.82 625
2017.84 562
2017.86 574
2017.88 540
2017.9 607
2017.92 606
2017.94 537
2017.96 502
2017.98 578
2018 577
2018.02 522
2018.04 574
2018.06 560
2018.08 508
2018.1 582
2018.12 536
2018.14 595
2018.16 464
2018.18 504
2018.2 561
2018.22 523
2018.24 501
2018.26 558
2018.28 545
2018.3 536
2018.32 599
2018.34 560
2018.36 548
2018.38 523
2018.4 571
2018.42 508
2018.44 607
2018.46 575
2018.48 584
2018.5 560
2018.52 543
2018.54 480
2018.56 530
2018.58 517
2018.6 570
2018.62 554
2018.64 529
2018.66 550
2018.68 535
2018.7 543
2018.72 532
2018.74 538
2018.76 586
2018.78 517
2018.8 567
2018.82 609
2018.84 622
2018.86 558
2018.88 515
2018.9 536
2018.92 632
2018.94 563
2018.96 573
2018.98 581
2019 523
2019.02 572
2019.04 585
2019.06 526
2019.08 529
2019.1 611
2019.12 583
2019.14 505
2019.16 557
2019.18 581
2019.2 512
2019.22 614
2019.24 557
2019.26 521
2019.28 533
2019.3 574
2019.32 557
2019.34 576
2019.36 554
2019.38 558
2019.4 598
2019.42 583
2019.44 598
2019.46 575
2019.48 519
2019.5 552
2019.52 609
2019.54 574
2019.56 555
2019.58 560
2019.6 516
2019.62 565
2019.64 562
2019.66 620
2019.68 546
2019.7 567
2019.72 536
2019.74 515
2019.76 597
2019.78 579
2019.8 561
2019.82 557
2019.84 567
2019.86 628
2019.88 650
2019.9 575
2019.92 546
2019.94 553
2019.96 614
2019.98 641
